                                          银河期货有限公司
                                                                                  制表时间 Creation Date：20220401
----------------------------------------------------------------------------------------------------
                                           交易结算单(盯市)Settlement Statement(MTM)
客户号 Client ID:  699099                客户名称 Client Name:上海久铭投资管理有限公司
日期 Date:20220401                                                                               


                                        资金状况  币种：人民币 Account Summary  Currency:CNY
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f:                     49392.00       基础保证金 Initial Margin:                    1.00
出 入 金 Deposit/Withdrawal:                  0.00       期末结存 Balance c/f:                     49392.00
平仓盈亏 Realized P/L:                        0.00       质 押 金 Pledge Amount:                       0.00
持仓盯市盈亏 MTM P/L:                         0.00       客户权益 Client Equity:                   49392.00
期权执行盈亏 Exercise P/L:                    0.00       货币质押保证金占用 FX Pledge Occ.:            0.00
手 续 费 Commission:                          0.00       保证金占用 Margin Occupied:                   0.00
行权手续费 Exercise Fee:                      0.00       交割保证金 Delivery Margin:                   0.00
交割手续费： Delivery Fee:                    0.00       多头期权市值 market value(long):        1786700.00
货币质入 New FX Pledge:                       0.00       空头期权市值 market value(short):             0.00
货币质出 FX Redemption:                       0.00       市值权益 market value(equity):          1836092.00
质押变化金额 Chg in Pledge Amt:               0.00       可用资金 Fund Avail.:                     49392.00
权利金收入 premium received:                  0.00       风 险 度 Risk Degree:                         0.00%
权利金支出 premium paid:                      0.00       应追加资金 Margin Call:                       0.00
货币质押变化金额 Chg in FX Pledge:            0.00
                                                                           持仓明细 Positions Detail
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   交易所   |      品种      |      合约      |开仓日期 |    投/保    |买/卖| 持仓量|    开仓价     |  昨结算  |     结算价     |  浮动盈亏  |  盯市盈亏 |   保证金   |       期权市值       |
|  Exchange  |     Product    |   Instrument   |Open Date|     S/H     | B/S |Positon|Pos. Open Price|Prev. Sttl|Settlement Price| Accum. P/L |  MTM P/L  |   Margin   | Market Value(Options)|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|中金所      |股指期权        |IO2206-P-3800   |20220315 |交易         |买   |      1|        112.800|    43.200|          34.400|        0.00|       0.00|        0.00|               3440.00|
|中金所      |股指期权        |IO2206-P-3800   |20220315 |交易         |买   |      1|        113.000|    43.200|          34.400|        0.00|       0.00|        0.00|               3440.00|
|中金所      |股指期权        |IO2206-P-3800   |20220315 |交易         |买   |      1|        113.000|    43.200|          34.400|        0.00|       0.00|        0.00|               3440.00|
|中金所      |股指期权        |IO2206-P-3800   |20220315 |交易         |买   |      1|        113.000|    43.200|          34.400|        0.00|       0.00|        0.00|               3440.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      2|         72.000|    43.200|          34.400|        0.00|       0.00|        0.00|               6880.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      3|         72.200|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      3|         72.200|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      2|         72.400|    43.200|          34.400|        0.00|       0.00|        0.00|               6880.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      1|         72.200|    43.200|          34.400|        0.00|       0.00|        0.00|               3440.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      2|         71.800|    43.200|          34.400|        0.00|       0.00|        0.00|               6880.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      1|         71.800|    43.200|          34.400|        0.00|       0.00|        0.00|               3440.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      2|         71.800|    43.200|          34.400|        0.00|       0.00|        0.00|               6880.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      2|         72.000|    43.200|          34.400|        0.00|       0.00|        0.00|               6880.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      3|         72.000|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      3|         71.800|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      2|         71.800|    43.200|          34.400|        0.00|       0.00|        0.00|               6880.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      3|         71.800|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      3|         71.800|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      2|         64.600|    43.200|          34.400|        0.00|       0.00|        0.00|               6880.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      1|         64.600|    43.200|          34.400|        0.00|       0.00|        0.00|               3440.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      2|         64.600|    43.200|          34.400|        0.00|       0.00|        0.00|               6880.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      3|         64.600|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      3|         65.800|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      3|         65.800|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      3|         69.200|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      2|         68.600|    43.200|          34.400|        0.00|       0.00|        0.00|               6880.00|
|中金所      |股指期权        |IO2206-P-3800   |20220317 |交易         |买   |      1|         68.600|    43.200|          34.400|        0.00|       0.00|        0.00|               3440.00|
|中金所      |股指期权        |IO2206-P-3900   |20220315 |交易         |买   |      2|        137.200|    61.000|          48.600|        0.00|       0.00|        0.00|               9720.00|
|中金所      |股指期权        |IO2206-P-3900   |20220315 |交易         |买   |      2|        150.000|    61.000|          48.600|        0.00|       0.00|        0.00|               9720.00|
|中金所      |股指期权        |IO2206-P-3900   |20220315 |交易         |买   |      2|        149.600|    61.000|          48.600|        0.00|       0.00|        0.00|               9720.00|
|中金所      |股指期权        |IO2206-P-3900   |20220315 |交易         |买   |      1|        148.800|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220315 |交易         |买   |      1|        148.800|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220315 |交易         |买   |      2|        148.200|    61.000|          48.600|        0.00|       0.00|        0.00|               9720.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      1|         94.800|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      1|         94.800|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      1|         94.800|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      1|         94.800|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      1|         93.200|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      1|         93.200|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      1|         90.200|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      1|         90.200|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      1|         90.400|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      1|         90.400|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      1|         90.800|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      1|         90.800|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      1|         90.600|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      1|         90.600|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      1|         90.800|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      1|         90.800|    61.000|          48.600|        0.00|       0.00|        0.00|               4860.00|
|中金所      |股指期权        |IO2206-P-3900   |20220317 |交易         |买   |      2|         91.200|    61.000|          48.600|        0.00|       0.00|        0.00|               9720.00|
